"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"846","Ryan Merkley","S.J","D","39","523.03333333333","1","3","3","0","4","30.77"
"861","Calen Addison","MIN","D","15","176.76666666667","2","2","1","1","4","40.00"
"868","Nathan Smith","ARI","C","10","120.5","2","2","1","1","4","66.67"
"877","Jesse Ylonen","MTL","R","14","141.18333333333","2","2","2","0","4","44.44"
"899","Nolan Foote","N.J","L","7","68.183333333333","3","1","1","0","4","80.00"
"900","Ronnie Attard","PHI","D","15","213.66666666667","2","2","2","0","4","33.33"
"923","Ville Heinola","WPG","D","12","162.85","0","4","1","3","4","66.67"
"924","Lassi Thomson","OTT","D","16","231.1","0","4","1","3","4","36.36"
"927","Thomas Harley","DAL","D","34","457.73333333333","1","3","2","1","4","23.53"
"939","Arttu Ruotsalainen","BUF","C","18","188.06666666667","2","2","2","0","4","80.00"
"947","Matias Maccelli","ARI","L","23","287.13333333333","1","3","0","3","4","57.14"
"973","Thomas Bordeleau","S.J","C","8","101.66666666667","0","4","4","0","4","80.00"
"16","Nate Thompson","PHI","C","33","314.86666666667","1","2","2","0","3","37.50"
"119","Mark Borowiecki","NSH","D","57","632.53333333333","0","3","1","2","3","15.79"
"164","Kevin Connauton","FLA, PHI","D","39","482.36666666667","1","2","1","1","3","13.64"
"170","Justin Dowling","VAN","C","22","191.96666666667","1","2","2","0","3","75.00"
"232","Nick Seeler","PHI","D","43","517.7","1","2","0","2","3","16.67"
"241","Logan Shaw","OTT","R","17","137.51666666667","1","2","1","1","3","50.00"
"243","Josh Leivo","CAR","L","7","64.316666666667","1","2","1","1","3","60.00"
"273","Nathan Beaulieu","WPG","D","24","208.31666666667","0","3","3","0","3","60.00"
"287","Matt Tennyson","NSH","D","8","99.05","0","3","2","1","3","60.00"
"290","Ryan Murray","COL","D","37","469","0","3","1","2","3","17.65"
"321","Jujhar Khaira","CHI","L","27","310.26666666667","3","0","0","0","3","60.00"
"350","Liam O'Brien","ARI","C","39","361.58333333333","2","1","1","0","3","42.86"
"352","Jayson Megna","COL","C","20","191.68333333333","0","3","2","1","3","60.00"
"504","Hayden Hodgson","PHI","R","6","75.216666666667","1","2","1","1","3","75.00"
"533","Thomas Novak","NSH","C","27","267.56666666667","0","3","1","2","3","50.00"
"573","Tanner Kero","DAL","C","23","206.35","0","3","1","2","3","75.00"
"602","Jalen Chatfield","CAR","D","16","227.3","0","3","1","2","3","42.86"
"604","Adam Brooks","MTL, VGK, WPG","C","25","213.08333333333","2","1","1","0","3","60.00"
"662","Dennis Cholowski","SEA, WSH","D","11","160.48333333333","0","3","0","3","3","30.00"
"677","Troy Stecher","DET, L.A","D","29","445.36666666667","1","2","1","1","3","23.08"
"725","Jonah Gadjovich","S.J","L","43","372.53333333333","1","2","2","0","3","33.33"
